Icon,Date/Time,Description,Event Type
TRUE,11/11/2009 9:17,SONY : CYBERSHOT : DSC00011.JPG,Exif
TRUE,11/11/2009 9:17,SONY : CYBERSHOT : DSC00011.JPG,Exif
TRUE,11/11/2009 9:18,SONY : CYBERSHOT : DSC00012.JPG,Exif
TRUE,11/11/2009 9:18,SONY : CYBERSHOT : DSC00012.JPG,Exif
TRUE,11/11/2009 9:18,SONY : CYBERSHOT : DSC00013.JPG,Exif
TRUE,11/11/2009 9:18,SONY : CYBERSHOT : DSC00013.JPG,Exif
TRUE,11/11/2009 9:18,SONY : CYBERSHOT : DSC00014.JPG,Exif
TRUE,11/11/2009 9:18,SONY : CYBERSHOT : DSC00014.JPG,Exif
TRUE,11/11/2009 15:02,USERINIT.EXE :  : Prefetch File,Program Run
TRUE,11/11/2009 15:02,EXPLORER.EXE :  : Prefetch File,Program Run
TRUE,11/11/2009 20:05,Security Update for Windows XP (KB969947) v.1 :  : ,Program Installed
TRUE,11/11/2009 20:05,Update for Windows Internet Explorer 8 (KB976749) v.1 :  : ,Program Installed
TRUE,11/11/2009 21:55,SONY : CYBERSHOT : DSC00015.JPG,Exif
TRUE,11/11/2009 21:55,SONY : CYBERSHOT : DSC00015.JPG,Exif
TRUE,11/11/2009 21:55,SONY : CYBERSHOT : DSC00016.JPG,Exif
TRUE,11/11/2009 21:55,SONY : CYBERSHOT : DSC00016.JPG,Exif
TRUE,11/11/2009 21:55,SONY : CYBERSHOT : DSC00017.JPG,Exif
TRUE,11/11/2009 21:55,SONY : CYBERSHOT : DSC00017.JPG,Exif
TRUE,11/11/2009 21:55,SONY : CYBERSHOT : DSC00018.JPG,Exif
TRUE,11/11/2009 21:55,SONY : CYBERSHOT : DSC00018.JPG,Exif
TRUE,11/11/2009 21:56,SONY : CYBERSHOT : DSC00019.JPG,Exif
TRUE,11/11/2009 21:56,SONY : CYBERSHOT : DSC00019.JPG,Exif
TRUE,11/11/2009 21:56,SONY : CYBERSHOT : DSC00020.JPG,Exif
TRUE,11/11/2009 21:56,SONY : CYBERSHOT : DSC00020.JPG,Exif
TRUE,11/11/2009 21:56,SONY : CYBERSHOT : DSC00021.JPG,Exif
TRUE,11/11/2009 21:56,SONY : CYBERSHOT : DSC00021.JPG,Exif
TRUE,11/11/2009 21:56,SONY : CYBERSHOT : DSC00022.JPG,Exif
TRUE,11/11/2009 21:56,SONY : CYBERSHOT : DSC00022.JPG,Exif
TRUE,11/11/2009 21:56,SONY : CYBERSHOT : DSC00023.JPG,Exif
TRUE,11/11/2009 21:56,SONY : CYBERSHOT : DSC00023.JPG,Exif
TRUE,11/12/2009 9:05,SONY : CYBERSHOT : DSC00024.JPG,Exif
TRUE,11/12/2009 9:05,SONY : CYBERSHOT : DSC00024.JPG,Exif
TRUE,11/12/2009 9:05,SONY : CYBERSHOT : DSC00025.JPG,Exif
TRUE,11/12/2009 9:05,SONY : CYBERSHOT : DSC00025.JPG,Exif
TRUE,11/12/2009 9:05,SONY : CYBERSHOT : DSC00026.JPG,Exif
TRUE,11/12/2009 9:05,SONY : CYBERSHOT : DSC00026.JPG,Exif
TRUE,11/12/2009 9:05,SONY : CYBERSHOT : DSC00027.JPG,Exif
TRUE,11/12/2009 9:05,SONY : CYBERSHOT : DSC00027.JPG,Exif
TRUE,11/12/2009 9:05,SONY : CYBERSHOT : DSC00028.JPG,Exif
TRUE,11/12/2009 9:05,SONY : CYBERSHOT : DSC00028.JPG,Exif
TRUE,11/12/2009 9:05,SONY : CYBERSHOT : DSC00029.JPG,Exif
TRUE,11/12/2009 9:05,SONY : CYBERSHOT : DSC00029.JPG,Exif
TRUE,11/12/2009 9:05,SONY : CYBERSHOT : DSC00030.JPG,Exif
